id,year,authors,title
235,1989,"Mark E. Nelson, James M. Bower",Computational Efficiency: A Common Organizing Principle for Parallel Computer Maps and Brain Maps?
236,1989,"Sheri L. Gish, W. E. Blanz",Comparing the Performance of Connectionist and Statistical Classifiers on an Image Segmentation Problem
237,1989,"Srinagesh Satyanarayana, Yannis P. Tsividis, Hans Peter Graf",A Reconfigurable Analog VLSI Neural Network Chip
238,1989,"Subutai Ahmad, Gerald Tesauro, Yu He",Asymptotic Convergence of Backpropagation: Numerical Experiments
239,1989,"Alexander Moopenn, T. Duong, A. P. Thakoor",Digital-Analog Hybrid Synapse Chips for Electronic Neural Networks
240,1989,"Daphna Weinshall, Shimon Edelman, Heinrich H. B?lthoff",A self-organizing multiple-view representation of 3D objects
241,1989,"Richard S. Zemel, Michael C. Mozer, Geoffrey E. Hinton",TRAFFIC: Recognizing Objects Using Hierarchical Reference Frame Transformations
242,1989,"Avijit Saha, James D. Keeler",Algorithms for Better Representation and Faster Learning in Radial Basis Function Networks
243,1989,"C. Lee Giles, Guo-Zheng Sun, Hsing-Hen Chen, Yee-Chun Lee, Dong Chen",Higher Order Recurrent Networks and Grammatical Inference
244,1989,Nathan Intrator,A Neural Network for Feature Extraction
245,1989,John C. Platt,Analog Circuits for Constrained Optimization
246,1989,"Matthew A. Wilson, James M. Bower",Computer Simulation of Oscillatory Behavior in Cerebral Cortical Networks
248,1989,Jim Mann,The Effects of Circuit Integration on a Feature Map Vector Quantizer
249,1989,"Shawn R. Lockery, Yan Fang, Terrence J. Sejnowski",Neural Network Analysis of Distributed Representations of Dynamical Sensory-Motor Transformations in the Leech
250,1989,"Yann LeCun, John S. Denker, Sara A. Solla",Optimal Brain Damage
251,1989,Michael Hormel,A Self-organizing Associative Memory System for Control Applications
252,1989,"William R. Softky, Daniel M. Kammen",Can Simple Cells Learn Curves? A Hebbian Model in a Structured Environment
253,1989,David Zipser,Subgrouping Reduces Complexity and Speeds Up Learning in Recurrent Networks
254,1989,"Randall D. Beer, Hillel J. Chiel",Neural Implementation of Motivated Behavior: Feeding in an Artificial Insect
255,1989,"Clay D. Spence, John C. Pearson",The Computation of Sound Source Elevation in the Barn Owl
256,1989,"Fernando J. Nu?ez, Jos? A. B. Fortes",Performance of Connectionist Learning Algorithms on 2-D SIMD Processor Arrays
257,1989,Susan Ciarrocca Lee,Using a Translation-Invariant Neural Network to Diagnose Heart Arrhythmia
258,1989,"Stephen P. DeWeerth, Carver Mead",An Analog VLSI Model of Adaptation in the Vestibulo-Ocular Reflex
259,1989,"Yuchun Lee, Richard P. Lippmann",Practical Characteristics of Neural Network and Conventional Pattern Classifiers on Artificial and Speech Problems
260,1989,"Conrad C. Galland, Geoffrey E. Hinton",Discovering High Order Features with Mean Field Modules
261,1989,"Les E. Atlas, David A. Cohn, Richard E. Ladner",Training Connectionist Networks with Queries and Selective Sampling
262,1989,"Jacob Barhen, Nikzad Benny Toomarian, Sandeep Gulati",Adjoint Operator Algorithms for Faster Learning in Dynamical Neural Networks
263,1989,"Steven A. Harp, Tariq Samad, Aloke Guha",Designing Application-Specific Neural Networks Using the Genetic Algorithm
264,1989,"Toshiaki Okamoto, Mitsuo Kawato, Toshio Inui, Sei Miyake",Model Based Image Compression and Adaptive Data Representation by Interacting Filter Banks
265,1989,"John Kassebaum, Manoel Fernando Tenorio, Christoph Schaefers",The Cocktail Party Problem: Speech/Data Signal Separation Comparison between Backpropagation and SONN
266,1989,Paul A. Viola,Neurally Inspired Plasticity in Oculomotor Processes
267,1989,"Gale Martin, James A. Pittman",Recognizing Hand-Printed Letters and Digits
268,1989,"David S. Touretzky, Deirdre W. Wheeler",A Computational Basis for Phonology
269,1989,David Rogers,Predicting Weather Using a Genetic Memory: A Combination of Kanerva's Sparse Distributed Memory with Holland's Genetic Algorithms
270,1989,"Davi Geiger, Federico Girosi",Coupled Markov Random Fields and Mean Field Theory
